datetime,Heating Setpoint (New),Cooling Setpoint (New),Heating Deadband Up,Heating Deadband Down,Cooling Deadband Up,Cooling Deadband Down
 08/16  23:29,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:30,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:31,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:32,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:33,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:34,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:35,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:36,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:37,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:38,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:39,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:40,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:41,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:42,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:43,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:44,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:45,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:46,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:47,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:48,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:49,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:50,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:51,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:52,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:53,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:54,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:55,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:56,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:57,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:58,10,24.4,0.4,0.4,0.4,0.4
 08/16  23:59,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:00,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:01,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:02,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:03,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:04,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:05,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:06,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:07,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:08,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:09,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:10,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:11,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:12,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:13,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:14,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:15,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:16,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:17,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:18,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:19,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:20,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:21,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:22,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:23,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:24,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:25,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:26,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:27,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:28,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:29,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:30,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:31,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:32,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:33,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:34,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:35,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:36,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:37,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:38,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:39,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:40,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:41,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:42,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:43,10,24.4,0.4,0.4,0.4,0.4
 08/17  0:44,10,24.4,0.4,0.4,0.4,0.4
