datetime,Heating Setpoint (New),Cooling Setpoint (New),Heating Deadband Up,Heating Deadband Down,Cooling Deadband Up,Cooling Deadband Down
 09/10  23:08,10,35,0.4,0.6,0.4,0.6
 09/10  23:09,10,35,0.4,0.6,0.4,0.6
 09/10  23:10,10,35,0.4,0.6,0.4,0.6
 09/10  23:11,10,35,0.4,0.6,0.4,0.6
 09/10  23:12,10,35,0.4,0.6,0.4,0.6
 09/10  23:13,10,35,0.4,0.6,0.4,0.6
 09/10  23:14,10,35,0.4,0.6,0.4,0.6
 09/10  23:15,10,35,0.4,0.6,0.4,0.6
 09/10  23:16,10,35,0.4,0.6,0.4,0.6
 09/10  23:17,10,35,0.4,0.6,0.4,0.6
 09/10  23:18,10,35,0.4,0.6,0.4,0.6
 09/10  23:19,10,35,0.4,0.6,0.4,0.6
 09/10  23:20,10,35,0.4,0.6,0.4,0.6
 09/10  23:21,10,35,0.4,0.6,0.4,0.6
 09/10  23:22,10,35,0.4,0.6,0.4,0.6
 09/10  23:23,10,35,0.4,0.6,0.4,0.6
 09/10  23:24,10,35,0.4,0.6,0.4,0.6
 09/10  23:25,10,35,0.4,0.6,0.4,0.6
 09/10  23:26,10,35,0.4,0.6,0.4,0.6
 09/10  23:27,10,35,0.4,0.6,0.4,0.6
 09/10  23:28,10,35,0.4,0.6,0.4,0.6
 09/10  23:29,10,35,0.4,0.6,0.4,0.6
 09/10  23:30,10,35,0.4,0.6,0.4,0.6
 09/10  23:31,10,35,0.4,0.6,0.4,0.6
 09/10  23:32,10,35,0.4,0.6,0.4,0.6
 09/10  23:33,10,35,0.4,0.6,0.4,0.6
 09/10  23:34,10,35,0.4,0.6,0.4,0.6
 09/10  23:35,10,35,0.4,0.6,0.4,0.6
 09/10  23:36,10,35,0.4,0.6,0.4,0.6
 09/10  23:37,10,35,0.4,0.6,0.4,0.6
 09/10  23:38,10,35,0.4,0.6,0.4,0.6
 09/10  23:39,10,35,0.4,0.6,0.4,0.6
 09/10  23:40,10,35,0.4,0.6,0.4,0.6
 09/10  23:41,10,35,0.4,0.6,0.4,0.6
 09/10  23:42,10,35,0.4,0.6,0.4,0.6
 09/10  23:43,10,35,0.4,0.6,0.4,0.6
 09/10  23:44,10,35,0.4,0.6,0.4,0.6
 09/10  23:45,10,35,0.4,0.6,0.4,0.6
 09/10  23:46,10,35,0.4,0.6,0.4,0.6
 09/10  23:47,10,35,0.4,0.6,0.4,0.6
 09/10  23:48,10,35,0.4,0.6,0.4,0.6
 09/10  23:49,10,35,0.4,0.6,0.4,0.6
 09/10  23:50,10,35,0.4,0.6,0.4,0.6
 09/10  23:51,10,35,0.4,0.6,0.4,0.6
 09/10  23:52,10,35,0.4,0.6,0.4,0.6
 09/10  23:53,10,35,0.4,0.6,0.4,0.6
 09/10  23:54,10,35,0.4,0.6,0.4,0.6
 09/10  23:55,10,35,0.4,0.6,0.4,0.6
 09/10  23:56,10,35,0.4,0.6,0.4,0.6
