datetime,Heating Setpoint (New),Cooling Setpoint (New),Heating Deadband Up,Heating Deadband Down,Cooling Deadband Up,Cooling Deadband Down
 01/02  24:00:00,19.76943653,30,1.5,1.5,1.5,1.5
 01/03  00:01:00,20.00265591,30,1.5,1.5,1.5,1.5
 01/03  00:02:00,20.42506343,30,1.5,1.5,1.5,1.5
 01/03  00:03:00,20.84534438,30,1.5,1.5,1.5,1.5
 01/03  00:04:00,21.18983773,30,1.5,1.5,1.5,1.5
 01/03  00:05:00,21.45679759,30,1.5,1.5,1.5,1.5
 01/03  00:06:00,21.66604674,30,1.5,1.5,1.5,1.5
 01/03  00:07:00,21.83546567,30,1.5,1.5,1.5,1.5
 01/03  00:08:00,21.97660976,30,1.5,1.5,1.5,1.5
 01/03  00:09:00,22.09625291,30,1.5,1.5,1.5,1.5
 01/03  00:10:00,22.19881789,30,1.5,1.5,1.5,1.5
