datetime,Heating Setpoint (New),Cooling Setpoint (New),Heating Deadband Up,Heating Deadband Down,Cooling Deadband Up,Cooling Deadband Down
 01/02  24:00:00,19.76943653,30,1.5,1.5,1.5,1.5
 01/03  00:01:00,20.00265591,30,1.5,1.5,1.5,1.5
 01/03  00:02:00,20.42506343,30,1.5,1.5,1.5,1.5
 01/03  00:03:00,20.84534438,30,1.5,1.5,1.5,1.5
 01/03  00:04:00,21.18983773,30,1.5,1.5,1.5,1.5
 01/03  00:05:00,21.45679759,30,1.5,1.5,1.5,1.5
 01/03  00:06:00,21.66604674,30,1.5,1.5,1.5,1.5
 01/03  00:07:00,21.83546567,30,1.5,1.5,1.5,1.5
 01/03  00:08:00,21.97660976,30,1.5,1.5,1.5,1.5
 01/03  00:09:00,22.09625291,30,1.5,1.5,1.5,1.5
 01/03  00:10:00,22.19881789,30,1.5,1.5,1.5,1.5
 01/03  00:11:00,22.28774131,30,1.5,1.5,1.5,1.5
 01/03  00:12:00,22.36568931,30,1.5,1.5,1.5,1.5
 01/03  00:13:00,22.4346531,30,1.5,1.5,1.5,1.5
 01/03  00:14:00,22.49626124,30,1.5,1.5,1.5,1.5
 01/03  00:15:00,22.55179651,30,1.5,1.5,1.5,1.5
 01/03  00:16:00,22.60223981,30,1.5,1.5,1.5,1.5
 01/03  00:17:00,22.6483856,30,1.5,1.5,1.5,1.5
 01/03  00:18:00,22.69092234,30,1.5,1.5,1.5,1.5
 01/03  00:19:00,22.73038901,30,1.5,1.5,1.5,1.5
 01/03  00:20:00,22.7672034,30,1.5,1.5,1.5,1.5
 01/03  00:21:00,22.80168761,30,1.5,1.5,1.5,1.5
 01/03  00:22:00,22.83409429,30,1.5,1.5,1.5,1.5
 01/03  00:23:00,22.86463956,30,1.5,1.5,1.5,1.5
 01/03  00:24:00,22.89350693,30,1.5,1.5,1.5,1.5
 01/03  00:25:00,22.92085508,30,1.5,1.5,1.5,1.5
 01/03  00:26:00,22.94682578,30,1.5,1.5,1.5,1.5
 01/03  00:27:00,22.97153933,30,1.5,1.5,1.5,1.5
 01/03  00:28:00,22.99509663,30,1.5,1.5,1.5,1.5
 01/03  00:29:00,23.01758406,30,1.5,1.5,1.5,1.5
 01/03  00:30:00,23.03907889,30,1.5,1.5,1.5,1.5
 01/03  00:31:00,23.05965183,30,1.5,1.5,1.5,1.5
 01/03  00:32:00,23.07936584,30,1.5,1.5,1.5,1.5
 01/03  00:33:00,23.0982789,30,1.5,1.5,1.5,1.5
 01/03  00:34:00,23.1164408,30,1.5,1.5,1.5,1.5
 01/03  00:35:00,23.13389352,30,1.5,1.5,1.5,1.5
 01/03  00:36:00,23.15067945,30,1.5,1.5,1.5,1.5
 01/03  00:37:00,22.55849586,30,1.5,1.5,1.5,1.5
 01/03  00:38:00,21.73590549,30,1.5,1.5,1.5,1.5
 01/03  00:39:00,21.59940092,30,1.5,1.5,1.5,1.5
